"","DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","CAUSE_OF_DEATH","CAUSE_OF_DEATH_NAME","CAUSE_OF_DEATH_CODE","CAUSE_OF_DEATH_TYPE","CAUSE_OF_DEATH_TYPECODE","CAUSE_OF_DEATH_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"42",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12431,"X31 Exposure to excessive natural cold","X31","ICD-10 three digit",1005,2,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",37,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12431d2d0d1d20100",41,1485
"43",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12432,"X32 Exposure to sunlight","X32","ICD-10 three digit",1005,3,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12432d0d0d1d20100",42,1485
"44",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12432,"X32 Exposure to sunlight","X32","ICD-10 three digit",1005,3,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12432d1d0d1d20100",43,1485
"45",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12432,"X32 Exposure to sunlight","X32","ICD-10 three digit",1005,3,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12432d2d0d1d20100",44,1485
"46",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12433,"X33 Victim of lightning","X33","ICD-10 three digit",1005,4,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",1,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12433d0d0d1d20100",45,1485
"47",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12433,"X33 Victim of lightning","X33","ICD-10 three digit",1005,4,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12433d1d0d1d20100",46,1485
"48",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12433,"X33 Victim of lightning","X33","ICD-10 three digit",1005,4,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",1,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12433d2d0d1d20100",47,1485
"49",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12434,"X34 Victim of earthquake","X34","ICD-10 three digit",1005,5,0,"Total",0,"Sex",1000,0,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12434d0d0d1d20100",48,1485
"50",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12434,"X34 Victim of earthquake","X34","ICD-10 three digit",1005,5,1,"Male",1,"Sex",1000,1,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12434d1d0d1d20100",49,1485
"51",2013,2013,2013,"date",0,0,2092957699,"England","E92000001","countries",499,1,12434,"X34 Victim of earthquake","X34","ICD-10 three digit",1005,5,2,"Female",2,"Sex",1000,2,0,"total (all ages)",0,"ageband",1000,0,1,"Deaths",1,"measures",1000,0,20100,"Value",0,"A","Normal Value",FALSE,"Free (free for publication)","Nm-161d1d32208e0d2092957699d12434d2d0d1d20100",50,1485
