"Year","Country","Suspected source","Observation status","Value"
2013,"England","public","Normal value",139.5
2013,"England","sewage related debris","Normal value",11
2013,"England","shipping","Normal value",19.5
2014,"England","fishing","Normal value",39
2014,"England","fly-tipped","Normal value",0
2014,"England","medical","Normal value",1
2014,"England","public","Normal value",188
2014,"England","sewage related debris","Normal value",15
2014,"England","shipping","Normal value",17
2015,"England","fishing","Normal value",34
2015,"England","fly-tipped","Normal value",0
2015,"England","medical","Normal value",1
2015,"England","public","Normal value",154
2015,"England","sewage related debris","Normal value",17
2015,"England","shipping","Normal value",13
2016,"England","fishing","Normal value",33
2016,"England","fly-tipped","Normal value",0
2016,"England","medical","Normal value",0
2016,"England","public","Normal value",111
2016,"England","sewage related debris","Normal value",7
2016,"England","shipping","Normal value",9
2017,"England","fishing","Normal value",28
2017,"England","fly-tipped","Normal value",0
2017,"England","medical","Normal value",0
2017,"England","public","Normal value",112
2017,"England","sewage related debris","Normal value",10
2017,"England","shipping","Normal value",10
2018,"England","fishing","Normal value",15
2018,"England","fly-tipped","Normal value",0
2018,"England","medical","Normal value",0
2018,"England","public","Normal value",73
2018,"England","sewage related debris","Normal value",6
2018,"England","shipping","Normal value",5
2019,"England","fishing","Normal value",18
2019,"England","fly-tipped","Normal value",0
2019,"England","medical","Normal value",0
2019,"England","public","Normal value",82
2019,"England","sewage related debris","Normal value",5
2019,"England","shipping","Normal value",5
2020,"England","fishing","Normal value",13.5
2020,"England","fly-tipped","Normal value",0
2020,"England","medical","Normal value",0
2020,"England","public","Normal value",54
2020,"England","sewage related debris","Normal value",6.5
2020,"England","shipping","Normal value",3
2021,"England","fishing","Normal value",16
2021,"England","fly-tipped","Normal value",0
2021,"England","medical","Normal value",1
2021,"England","public","Normal value",72
2021,"England","sewage related debris","Normal value",6
2021,"England","shipping","Normal value",4
2008,"","fishing","Normal value",28
2008,"","fly-tipped","Normal value",0
2008,"","medical","Normal value",0
2008,"","public","Normal value",92.5
2008,"","sewage related debris","Normal value",3.5
2008,"","shipping","Normal value",7
2009,"","fishing","Normal value",60.5
2009,"","fly-tipped","Normal value",0
2009,"","medical","Normal value",0
2009,"","public","Normal value",157.5
2009,"","sewage related debris","Normal value",8.5
2009,"","shipping","Normal value",9
2010,"","fishing","Normal value",47
2010,"","fly-tipped","Normal value",0
2010,"","medical","Normal value",0
2010,"","public","Normal value",129
2010,"","sewage related debris","Normal value",11
2010,"","shipping","Normal value",7
2011,"","fishing","Normal value",35
2011,"","fly-tipped","Normal value",0
2011,"","medical","Normal value",0
2011,"","public","Normal value",119
2011,"","sewage related debris","Normal value",8
2011,"","shipping","Normal value",12
2012,"","fishing","Normal value",28
2012,"","fly-tipped","Normal value",0
2012,"","medical","Normal value",0
2012,"","public","Normal value",111.5
2012,"","sewage related debris","Normal value",14
2012,"","shipping","Normal value",12
2013,"","fishing","Normal value",43.5
2013,"","fly-tipped","Normal value",0
2013,"","medical","Normal value",0.5
2013,"","public","Normal value",132
2013,"","sewage related debris","Normal value",12.5
2013,"","shipping","Normal value",18.5
2014,"","fishing","Normal value",36
2014,"","fly-tipped","Normal value",0
2014,"","medical","Normal value",1
2014,"","public","Normal value",158
2014,"","sewage related debris","Normal value",19
2014,"","shipping","Normal value",16
2015,"","fishing","Normal value",29
2015,"","fly-tipped","Normal value",0
2015,"","medical","Normal value",1
2015,"","public","Normal value",109
2015,"","sewage related debris","Normal value",15
2015,"","shipping","Normal value",12
2016,"","fishing","Normal value",22.5
2016,"","fly-tipped","Normal value",0
2016,"","medical","Normal value",0
2016,"","public","Normal value",91
2016,"","sewage related debris","Normal value",7.5
2016,"","shipping","Normal value",9
2017,"","fishing","Normal value",21
2017,"","fly-tipped","Normal value",0
2017,"","medical","Normal value",0
2017,"","public","Normal value",84
2017,"","sewage related debris","Normal value",10
2017,"","shipping","Normal value",10
2018,"","fishing","Normal value",16
2018,"","fly-tipped","Normal value",0
2018,"","medical","Normal value",0
2018,"","public","Normal value",61
2018,"","sewage related debris","Normal value",6
2018,"","shipping","Normal value",6
2019,"","fishing","Normal value",17
2019,"","fly-tipped","Normal value",0
2019,"","medical","Normal value",0
2019,"","public","Normal value",57
2019,"","sewage related debris","Normal value",6
2019,"","shipping","Normal value",5
2020,"","fishing","Normal value",12
2020,"","fly-tipped","Normal value",0
2020,"","medical","Normal value",0
2020,"","public","Normal value",49
2020,"","sewage related debris","Normal value",6
2020,"","shipping","Normal value",3
2021,"","fishing","Normal value",16
2021,"","fly-tipped","Normal value",0
2021,"","medical","Normal value",1
2021,"","public","Normal value",60.5
2021,"","sewage related debris","Normal value",5.5
2021,"","shipping","Normal value",4
2008,"Northern Ireland","","Low reliability",378
2009,"Northern Ireland","","Low reliability",320
2010,"Northern Ireland","","Low reliability",37
2011,"Northern Ireland","","Low reliability",346.5
2012,"Northern Ireland","","Low reliability",374
2013,"Northern Ireland","","Low reliability",332
2014,"Northern Ireland","","Low reliability",337
2015,"Northern Ireland","","Low reliability",760
2016,"Northern Ireland","","Low reliability",922
2017,"Northern Ireland","","Low reliability",242
2018,"Northern Ireland","","Low reliability",98
2019,"Northern Ireland","","Low reliability",140
2020,"Northern Ireland","","Low reliability",954
2021,"Northern Ireland","","Low reliability",466
2008,"Scotland","","Low reliability",302
2009,"Scotland","","Low reliability",208
2010,"Scotland","","Low reliability",398
2011,"Scotland","","Low reliability",273
2012,"Scotland","","Low reliability",186
2013,"Scotland","","Low reliability",241.5
2014,"Scotland","","Low reliability",351
2015,"Scotland","","Normal value",185
